dist	x	y	h
0.0	0	0	301.79999
0.9	-1.67852195352316	-0.839260975830257	301.69658
1.3	-1.67852195352316	-2.19098313245922	301.69495
1.7	-1.67852195352316	-1.68860332202166	301.69331
2.5	-2.52786429971457	-2.11327449511737	301.69026
3.0	-2.52786429971457	-2.53794566821307	301.68863
3.8	-3.37720664590597	-2.96261684130877	301.68558
4.6	-3.37720664590597	-4.11768982745707	301.68231
5.7	-3.78720916435122	-4.52769234590232	301.57813
6.8	-5.07589133828878	-5.81637451983988	301.57397
7.2	-5.07589133828878	-6.40820258017629	301.57234
8.7	-5.59091990999877	-7.1807454386726	301.5668
9.7	-6.44026225619018	-8.03008778486401	301.46262
11.2	-7.37199381925166	-9.42768512666225	301.45709
12.6	-8.47326072305441	-11.079585484229	301.45155
13.1	-8.47326072305441	-11.2084201136604	301.34987
14.9	-9.85522698797286	-12.2448948128149	301.34276
16.8	-10.8211647812277	-14.176770397462	301.33574
18.2	-11.6705071274191	-15.4507839167491	301.3302
20.0	-12.4032540265471	-16.9162777168676	301.32318
21.9	-14.4186571463943	-18.4278300562873	301.31607
22.7	-14.4186571463943	-19.4058520589024	301.21277
24.9	-15.8501234613359	-20.837318373844	301.20446
26.8	-16.6994658075273	-22.5360030662268	301.09745
28.9	-18.3981504999101	-24.2346877586097	301.08913
30.8	-19.132745211944	-25.7038771836087	301.08211
31.6	-19.7525922898203	-26.0138007225469	300.97903
33.7	-21.7955198846757	-28.056728316471	300.97071
35.6	-22.7119576279074	-29.889603802003	300.96369
37.0	-23.4271091800183	-30.962331132032	300.85813
39.2	-25.1257938724011	-32.6610158244148	300.84981
40.6	-26.3094499930739	-34.4365000044927	300.84428
41.1	-26.3094499930739	-34.9612326677889	300.74259
42.9	-26.9586693588644	-36.2596713984385	300.73557
44.3	-27.7562101278454	-37.4559825509787	300.73003
45.8	-28.6055524740368	-38.7299960702658	300.7245
47.2	-29.7068193778396	-40.3818964278325	300.71896
47.6	-29.7068193778396	-40.8065676009282	300.71733
49.1	-30.556161724031	-42.0805811202154	300.71179
50.4	-30.556161724031	-43.8087580958381	300.70689
51.6	-30.556161724031	-45.0827716151252	300.60197
52.9	-30.556161724031	-46.3567851344123	300.69706
54.2	-30.556161724031	-47.6307986536995	300.69216
54.6	-30.556161724031	-48.5096332831308	300.69053
56.1	-29.7068193778396	-49.7836468024179	300.68499
56.9	-29.7068193778396	-50.6329891486093	300.68173
58.4	-28.6055524740368	-52.2848895061761	300.67619
59.8	-27.5352471582592	-53.8903474770486	300.67065
60.6	-26.6859048120677	-54.3150186501443	300.66761
62.1	-25.8365624658763	-55.5890321694314	300.76206
63.7	-23.9993040207773	-56.5076613919809	300.85596
64.7	-23.1499616745859	-57.3570037381724	300.95179
66.3	-21.2335586547852	-58.3152052480727	300.94569
67.9	-19.5348739624023	-59.1645475942641	301.03956
68.7	-18.6855316162109	-59.5892187673599	301.03651
70.3	-16.8914994485676	-60.4862348511815	301.13041
72.5	-14.3434724099934	-61.3355771973729	301.12202
74.1	-12.6447877176106	-62.1849195435643	301.21592
76.3	-10.0967606790364	-63.0342618897557	301.20754
77.1	-9.34276580810547	-63.4112593252212	301.20449
78.7	-7.54873364046216	-64.3082754090428	301.29839
80.9	-4.89957533404231	-65.1913281781599	301.18999
83.0	-2.45267956331372	-66.0069601014256	301.1816
84.6	-0.849342346191406	-66.8086287099868	301.17551
87.0	1.69868469238281	-68.0826422292739	301.16636
87.8	2.54802703857422	-68.5073134023696	301.16331
90.2	5.19140155240893	-69.829000659287	301.25417
92.4	7.73942859098315	-70.6783430054784	301.24578
94.8	10.1921081542969	-71.9046827871352	301.23664
97.2	12.7401351928711	-73.1786963064224	301.22749
98.0	13.5894775390625	-73.6033674795181	301.22444
100.3	16.1375045776367	-74.8773809988052	301.2153
102.7	18.5645559411496	-76.0909066814929	301.30615
104.6	20.3497698940337	-77.4298171456903	301.29904
106.8	22.8977969326079	-78.2791594918817	301.29066
108.6	24.6440776512027	-79.5888700308278	301.28355
110.0	26.3427623435855	-80.0135412039235	301.27815
111.9	27.9073217492551	-81.1869607586414	301.37101
113.5	29.7269821166992	-82.0967909414321	301.36491
115.1	31.3046911340207	-82.8856454510242	301.35882
116.9	33.0033758264035	-84.1596589703113	301.35171
117.7	33.9736938476563	-84.6448179800063	301.34866
119.3	35.8196534384042	-85.5677977763116	301.34257
120.7	37.518338130787	-85.9924689494073	301.33716
122.3	39.0697479248047	-86.7681738454849	301.43106
123.1	40.0663651693612	-87.2664824686944	301.42801
124.5	41.765049861744	-87.6911536417902	301.42261
125.3	42.4671173095703	-88.042187364772	301.41956
126.1	43.6331780813634	-88.6252177515998	301.41652
127.4	45.3318627737463	-88.6252177515998	301.41137
128.2	46.1812051199377	-89.0498889246956	301.5083
129.6	48.233991779387	-89.0498889246956	301.50315
130.3	49.0833341255784	-89.0498889246956	301.50058
130.9	50.1173349097371	-89.0498889246956	301.49801
132.3	52.1549066584557	-88.5404959879816	301.49261
133.1	53.1515239030123	-88.042187364772	301.58954
133.9	53.8535913508385	-87.6911536417902	301.58649
135.3	56.5287305489182	-87.0223688418046	301.68108
135.8	56.5287305489182	-86.3535840427503	301.67945
137.4	57.6159539613873	-85.8099723355845	301.67335
138.4	58.7424438130111	-84.6834824839607	301.76915
139.9	59.5917861592025	-83.4094689646736	301.86361
141.0	60.7754422798753	-82.2258128449321	301.85945
141.8	60.7754422798753	-80.7551501551643	301.75616
143.1	60.7754422798753	-79.9353000922129	301.75125
144.6	61.6247846260667	-78.6612865729257	301.74572
145.8	61.6247846260667	-76.933109597303	301.74082
147.5	61.6247846260667	-75.2344249049202	301.73428
148.8	61.6247846260667	-73.3390910420567	301.82937
149.9	60.7754422798753	-72.4897486958653	301.82522
151.2	60.7754422798753	-71.4829535540193	301.82031
153.0	59.725976953283	-69.3840228999034	301.81329
154.5	58.8248330298811	-68.0323070138693	301.90775
155.9	57.8931014668196	-66.634709672071	301.90221
157.0	56.8633542694151	-65.6049624737352	301.89805
158.8	55.2849394790828	-64.4211513800547	301.89095
160.3	54.4355971328914	-63.1471378607675	301.88541
162.1	52.8146427366883	-61.9314220650122	301.8783
164.0	51.9653003904969	-60.2327373726293	301.87128
165.8	50.0686154998839	-58.810223704204	301.86417
166.9	49.2192731536925	-57.9608813580126	301.86001
168.8	47.4353070873767	-56.6229068078101	301.85291
170.6	45.7366223949939	-55.348893288523	301.8458
172.5	44.0379377026111	-54.0748797692358	301.83869
174.3	42.2310490775853	-52.7197133004665	301.83159
175.1	41.1653835810721	-52.1868805531412	301.82854
177.3	38.5162252746522	-51.3038277840242	301.82015
179.5	36.0693295039237	-50.4881958607584	301.81177
181.1	34.2642529457808	-49.5856575807557	301.80567
183.1	31.5528325792402	-49.1337541872635	301.79778
184.6	29.7331186011434	-48.6788256922737	301.79238
185.9	28.0344339087605	-48.6788256922737	301.78723
187.3	26.3357492163777	-48.254154519178	301.78183
188.7	24.5765498820692	-48.254154519178	301.77668
190.7	22.2100667711347	-47.8597406679764	301.76879
192.1	20.3903527930379	-47.4048121729866	301.76339
192.8	19.5410104468465	-47.4048121729866	301.76082
194.2	18.1812128107995	-47.0648627635092	301.75542
195.0	17.3318704646081	-46.6401915904135	301.75237
196.4	15.4734437149018	-46.1755849039182	301.74697
197.8	14.1778298970312	-45.8516814485192	301.64155
198.9	13.182933581993	-44.8567851344123	301.63739
199.6	12.3335912358016	-44.8567851344123	301.63482
200.7	11.923588719219	-44.4467826168984	301.53063
201.7	11.0742463730276	-43.597440270707	301.62646
202.8	10.3299300801009	-42.8531239787117	301.6223
204.3	9.8149015083909	-42.0805811202154	301.51675
204.7	9.8149015083909	-41.4887530598789	301.51512
205.8	8.9655591621995	-40.6394107136875	301.51096
207.1	8.9655591621995	-39.9867175379768	301.60605
208.4	8.9655591621995	-38.7127040186897	301.60115
209.6	8.9655591621995	-37.4386904994026	301.59624
210.9	8.9655591621995	-36.1646769801155	301.59134
211.3	8.9655591621995	-35.7400058070198	301.58971
