radius_of_curvature_m,x,y
95.289392,-2.298335,-2.230983
9.623091,-2.362859,-2.306763
13.439344,-2.426882,-2.383236
12.071369,-2.490536,-2.460531
13.565685,-2.553749,-2.538555
13.854788,-2.616555,-2.617283
16.107585,-2.678973,-2.696681
17.983185,-2.741032,-2.776659
23.962270,-2.802761,-2.857123
32.483105,-2.864288,-2.938041
49.052839,-2.925610,-3.019215
61.858751,-2.986831,-3.100623
56.856482,-3.047987,-3.182242
38.495152,-3.109029,-3.264034
23.239263,-3.169896,-3.346071
16.972731,-3.230459,-3.428447
14.565378,-3.290540,-3.511191
13.482419,-3.350030,-3.594329
12.908347,-3.408843,-3.677844
13.365179,-3.466880,-3.761639
13.157960,-3.524195,-3.845765
13.677518,-3.580754,-3.930164
14.255247,-3.636551,-4.014777
14.938531,-3.691661,-4.099653
16.833272,-3.746072,-4.184694
18.929014,-3.799900,-4.269946
23.906113,-3.853161,-4.355292
33.098122,-3.905999,-4.440754
64.654207,-3.958500,-4.526241
-5551.107093,-4.010794,-4.611685
-85.572948,-4.063048,-4.697075
-45.156007,-4.115346,-4.782315
-34.629970,-4.167820,-4.867430
-29.150292,-4.220537,-4.952393
-29.579329,-4.273563,-5.037223
-28.126616,-4.326895,-5.121895
-30.013340,-4.380589,-5.206487
-31.986324,-4.434619,-5.290981
-31.158939,-4.488965,-5.375376
-33.685110,-4.543689,-5.459769
-31.668292,-4.598723,-5.544075
-27.908011,-4.654074,-5.628272
-25.150353,-4.709818,-5.712405
-21.755307,-4.765944,-5.796372
-18.616926,-4.822488,-5.880116
-16.967449,-4.879537,-5.963634
-16.767647,-4.937119,-6.046875
-16.724459,-4.995235,-6.129816
-17.755735,-5.053893,-6.212471
-19.661435,-5.113082,-6.294879
-23.361931,-5.172726,-6.377029
-30.479091,-5.232759,-6.458970
-49.491374,-5.293090,-6.540753
-198.033307,-5.353612,-6.622448
97.655939,-5.414189,-6.704132
43.420031,-5.474673,-6.785861
29.633777,-5.534942,-6.867693
24.008935,-5.594911,-6.949696
21.035447,-5.654477,-7.031871
20.046850,-5.713560,-7.114200
19.259643,-5.772181,-7.196763
20.096197,-5.830272,-7.279484
21.731035,-5.887843,-7.362341
23.358470,-5.944934,-7.445328
28.322604,-6.001535,-7.528354
33.622300,-6.057737,-7.611432
40.476923,-6.113589,-7.694527
57.288965,-6.169136,-7.777604
92.634083,-6.224472,-7.860681
239.925272,-6.279673,-7.943749
-312.168558,-6.334783,-8.026753
-88.478344,-6.389881,-8.109679
-54.114707,-6.445081,-8.192559
-37.726836,-6.500416,-8.275309
-28.130285,-6.555959,-8.357894
-23.663936,-6.611841,-8.440358
-20.836613,-6.668092,-8.522622
-18.761618,-6.724753,-8.604642
-17.697676,-6.781902,-8.686441
-17.574180,-6.839570,-8.768007
-17.127577,-6.897728,-8.849277
-16.974858,-6.956420,-8.930295
-17.916501,-7.015673,-9.011089
-18.651100,-7.075425,-9.091613
-19.640064,-7.135681,-9.171912
-21.456905,-7.196436,-9.252022
-24.572779,-7.257673,-9.331990
-28.474577,-7.319311,-9.411802
-33.958103,-7.381333,-9.491525
-43.440890,-7.443698,-9.571202
-57.138419,-7.506366,-9.650879
-77.185977,-7.569258,-9.730546
-145.062389,-7.632304,-9.810198
-595.038797,-7.695481,-9.889899
339.277207,-7.758732,-9.969663
118.170469,-7.821967,-10.049458
73.145832,-7.885141,-10.129316
52.839452,-7.948203,-10.209262
42.660750,-8.011118,-10.289337
34.715308,-8.073806,-10.369517
30.474897,-8.136196,-10.449797
28.454649,-8.198288,-10.530240
27.387911,-8.260063,-10.610863
27.198467,-8.321469,-10.691620
28.370938,-8.382503,-10.772507
28.783114,-8.443216,-10.853573
29.427697,-8.503578,-10.934762
32.707220,-8.563579,-11.016039
34.877246,-8.623288,-11.097450
38.011070,-8.682700,-11.178949
42.370222,-8.741791,-11.260458
51.344146,-8.800606,-11.341990
