x,y
-3.756987,-4.292653
-3.816260,-4.373675
-3.875324,-4.454914
-3.934216,-4.536407
-3.992911,-4.618124
-4.051425,-4.700073
-4.109754,-4.782230
-4.167921,-4.864595
-4.225925,-4.947129
-4.283804,-5.029821
-4.341562,-5.112624
-4.399231,-5.195531
-4.456816,-5.278521
-4.514309,-5.361580
-4.571707,-5.444731
-4.628973,-5.527985
-4.686068,-5.611330
-4.742995,-5.694779
-4.799753,-5.778299
-4.856347,-5.861835
-4.912838,-5.945384
-4.969251,-6.028906
-5.025622,-6.112384
-5.081990,-6.195811
-5.138371,-6.279155
-5.194822,-6.362444
-5.251337,-6.445628
-5.307947,-6.528716
-5.364671,-6.611710
-5.421518,-6.694608
-5.478483,-6.777405
-5.535569,-6.860101
-5.592801,-6.942739
-5.650146,-7.025292
-5.707602,-7.107778
-5.765171,-7.190226
-5.822845,-7.272654
-5.880591,-7.355041
-5.938411,-7.437410
-5.996307,-7.519775
-6.054276,-7.602129
-6.112307,-7.684448
-6.170419,-7.766736
-6.228633,-7.848984
-6.286964,-7.931176
-6.345429,-8.013282
-6.404047,-8.095290
-6.462840,-8.177212
-6.521809,-8.259039
-6.580949,-8.340763
-6.640254,-8.422395
-6.699713,-8.503944
-6.759302,-8.585419
-6.818994,-8.666836
-6.878754,-8.748215
-6.938539,-8.829571
-6.998313,-8.910916
-7.058054,-8.992275
-7.117730,-9.073645
-7.177314,-9.155020
-7.236803,-9.236414
-7.296184,-9.317821
-7.355456,-9.399240
-7.414621,-9.480662
-7.473650,-9.562042
-7.532587,-9.643424
-7.591431,-9.724804
-7.650156,-9.806141
-7.708764,-9.887443
-7.767292,-9.968765
-7.825722,-10.050083
-7.884057,-10.131393
-7.942319,-10.212718
-8.000526,-10.294067
-8.058693,-10.375437
-8.116856,-10.456854
-8.175022,-10.538291
-8.233220,-10.619748
-8.291490,-10.701245
-8.349880,-10.782802
-8.408357,-10.864333
-8.466969,-10.945861
-8.525764,-11.027408
-8.584792,-11.109005
-8.643985,-11.190546
-8.703351,-11.272023
-8.762912,-11.353456
-8.822693,-11.434869
-8.882692,-11.516263
-8.942847,-11.597565
-9.003164,-11.678798
-9.063643,-11.759976
-9.124262,-11.841090
-9.185010,-11.922152
-9.245852,-12.003151
-9.306763,-12.084089
-9.367715,-12.164972
-9.428674,-12.245802
-9.489613,-12.326595
-9.550510,-12.407379
-9.611320,-12.488155
-9.672012,-12.568941
-9.732554,-12.649744
